date,open,high,close,low,volume,amount
2015-06-08,8.88,9.58,9.41,8.77,101122408.0,2097819264.0
2015-06-05,8.62,8.99,8.86,8.62,58699220.0,1161103872.0
2015-06-04,9.01,9.01,8.58,8.12,58397484.0,1114327040.0
2015-06-03,8.71,9.14,9.02,8.64,72351632.0,1452990848.0
2015-06-02,8.09,8.78,8.71,8.09,40766268.0,768294656.0
2015-06-01,7.79,8.12,8.06,7.79,28111242.0,505432032.0
2015-05-29,7.95,8.17,7.78,7.3,39618552.0,692708544.0
2015-05-28,8.99,8.99,8.1,8.1,54597296.0,1058439680.0
2015-05-27,9.2,9.25,9.0,8.78,60156400.0,1210550272.0
2015-05-26,8.82,9.35,9.2,8.82,68598880.0,1405922304.0
2015-05-25,8.46,8.9,8.81,8.35,55361864.0,1083442944.0
2015-05-22,8.81,8.99,8.61,8.41,59401392.0,1151509120.0
2015-05-21,8.13,8.88,8.78,8.06,66064888.0,1257053440.0
2015-05-20,7.89,8.37,8.13,7.89,39653384.0,732341760.0
2015-05-19,7.74,7.98,7.89,7.74,22087976.0,391398240.0
2015-05-18,7.79,7.95,7.74,7.7,25612492.0,450369248.0
